ID            InChIKey                                        Group          1B1         1B3           2B1
1   FQRDZCVYXMKEEP-NKFKGCMQSA-N    L3    -9.5    -9.9    -8.1
2   HSSTUYCFXDZSCI-UHFFFAOYSA-N    L7    -9.3    -9.4    -7.3
3   CMPNHCNFGMIIGN-UHFFFAOYSA-N    L7    -9.3    -9.3    -7.9
4   IEAVPOZMUKMNRR-UHFFFAOYSA-N    L7    -8.9    -9.2    -6.8
5   GUYNZYNXRHOXRJ-BUHFOSPRSA-N    L7    -8.8    -9.0    -7.0
6   MDQNZPPILBWWNA-UHFFFAOYSA-N    L3    -9.9    -8.9    -7.0
7   ZSFSJHFZENGNHS-PTGBLXJZSA-O    L3    -9.0    -8.8    -6.4
8   GCWGZTMLJPMEGO-UHFFFAOYSA-N    L3    -9.2    -8.8    -7.6
9   JYVNEQHJQPFBCU-UHFFFAOYSA-N    L3    -9.0    -8.8    -8.2
10  HKGQAMMYWKWYIA-UHFFFAOYSA-N    L7    -9.2    -8.8    -8.4
11  DBSOPUYZJVXKIF-UHFFFAOYSA-N    L3    -8.6    -8.7    -6.8
12  OXUDHPYPJCMYRZ-UHFFFAOYSA-N    L3    -8.3    -8.7    -7.5
13  RTIWKGYJDWIQBH-UHFFFAOYSA-N    L3    -9.2    -8.7    -7.9
14  AOYRYPNIZRIOPC-UHFFFAOYSA-N    L3    -9.3    -8.7    -8.0
15  ZTHGCANZNVAXSF-UHFFFAOYSA-N    L3    -9.6    -8.7    -8.4

