Parent_CHEMBL_ID	Compound_name	Standardized_Molecule (InChI Key)	Canonical_SMILES	OATP1B1_active	OATP1B3_active	OATP2B1_active	OATP1B1+pValue	OATP1B3+pValue	OATP2B1+pValue
CHEMBL1163656		AAEVYOVXGOFMJO-UHFFFAOYSA-N	CSc1nc(NC(C)C)nc(NC(C)C)n1		0.0				
CHEMBL553	ERLOTINIB	AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	0.0	0.0	1.0			
CHEMBL1603825	SCANDENIN	AAKJUGSASOCUFQ-UHFFFAOYSA-N	COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2	1.0	1.0				
CHEMBL12	DIAZEPAM	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	1.0	0.0	1.0			
CHEMBL1199080		AAQOQKQBGPPFNS-UHFFFAOYSA-N	CC[N+](C)(C)Cc1ccccc1Br	0.0	0.0				
		AAWZDTNXLSGCEK-UHFFFAOYSA-N	O=C(O)C1(O)CC(O)C(O)C(O)C1	0.0	0.0				
CHEMBL7252		ABJKIHHNDMEBNA-UHFFFAOYSA-N	Cc1coc2ccccc2c1=O	0.0	0.0				
CHEMBL496	HEXACHLOROPHENE	ACGUYXCXAPNIKK-UHFFFAOYSA-N	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	1.0	1.0				
		ACTOXUHEUCPTEW-GRWVDKKHSA-N	COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O	0.0	0.0				
CHEMBL1069	VALSARTAN	ACWBQPMHZXGDFX-UHFFFAOYSA-N	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C	1.0	0.0	0.0	5.0477		
CHEMBL13530		AELCINSCMGFISI-UHFFFAOYSA-N	NC1CC1c1ccccc1	0.0	0.0	0.0			
CHEMBL1441	ETHIONAMIDE	AEOCXXJPGCBFJA-UHFFFAOYSA-N	CCc1cc(C(=N)S)ccn1	0.0	0.0				
CHEMBL431	SPIRAPRIL	AEUTYOVWOVBAKS-UHFFFAOYSA-N	CCC(CO)NCCNC(CC)CO	0.0	0.0				
CHEMBL269144	CATIONIC LIPID	AFAIELJLZYUNPW-UHFFFAOYSA-N	N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1	0.0					
		AFBBIVHQSLMMLH-UHFFFAOYSA-N	CC(=O)OC1CC(=O)C2(C)C(CC(=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C	0.0	0.0				
CHEMBL123026		AFHJQYHRLPMKHU-UHFFFAOYSA-N	O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21	1.0	0.0				
		AFJYYKSVHJGXSN-DTPPPTCGSA-N	COC1CC(OC2C(C)=CCC3CC(CC4(CCC(C)C(C5CCCCC5)O4)O3)OC(=O)C3C=C(C)/C(=N/O)C4OCC(=CC=CC2C)C34O)OC(C)C1O	0.0	0.0				
