idnumber	Canonical_Smiles	Group
Z2968932225	CC\C(=C/c1sc2ccc3ccccc3c2[n+]1CCCS(=O)(=O)O)\C=C\4/Sc5cc(OC)c(C)cc5N4CCCS(=O)(=O)O	L1
Z56857133	CCOC(=O)c1c2CCCCc2sc1N\C=C\3/C(=O)N(C(=O)c4ccccc34)c5sc6CCCCc6c5C(=O)OCC	L1
Z2968932255	COc1ccc2S\C(=C/C(=C/c3sc4ccc(OC)cc4[n+]3CCCS(=O)(=O)O)/C)\N(CCCS(=O)(=O)O)c2c1	L1
Z2968932215	C\C(=C/c1sc2ccc(Cl)cc2[n+]1CCCS(=O)(=O)O)\C=C\3/Sc4ccc(Cl)cc4N3CCCS(=O)(=O)O	L1
Z18592238	Cc1ccccc1N2C(=O)c3c4CCCCc4sc3N=C2SCC(=O)NCc5occc5	L1
Z19561381	Cc1cccc(c1)N2C(=O)c3c4CCCCc4sc3N=C2SCC(=O)NCc5occc5	L1
Z19663290	O=C(COC(=O)c1ccccc1C(=O)c2ccccc2)Nc3sc4CCCCCc4c3C#N	L1
Z2968930326	CC\C(=C/c1sc2ccc3ccccc3c2[n+]1CCCS(=O)(=O)O)\C=C\4/Sc5ccc6ccccc6c5N4CCCS(=O)(=O)O	L1
Z2968933388	CCCN1\C(=C\C=C(/CCCO)\C=C\c2sc3ccc(O)cc3[n+]2CCC)\Sc4ccc(O)cc14	L1
Z2968934055	CCN1\C(=C\C=C(/OCCO)\C=C\c2sc3cc(SC)c(OC)cc3[n+]2CC)\Sc4cc(SC)c(OC)cc14	L1
Z2968933452	OS(=O)(=O)CCCN1\C(=C\C=C\c2sc3ccc4ccccc4c3[n+]2CCCS(=O)(=O)O)\Sc5ccc6ccccc6c15	L1
Z2968933147	CCN1C(=C(\C=C\C=C\2/CCCC(=C2c3ccccc3)\C=C\C=C4C(=O)N(CC)C(=S)N(CC)C4=O)C(=O)N(CC)C1=S)O	L1
Z31296703	Cc1ccc(cc1C)N2C(=O)\C(=C/Nc3sc4CCCc4c3C#N)\c5ccccc5C2=O	L1
Z56907043	CCOC(=O)c1c(C)c(C)sc1NC(=O)c2c3CCCCc3sc2NC(=O)c4ccccc4	L1
Z2858879905	CC(C)(C)OC(=O)N[C@@H]1CC[C@H](CC1)N(Cc2cc(cs2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z2858879906	CC(C)(C)OC(=O)NC1CCC(CC1)N(Cc2cc(cs2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z978847174	COc1cc2sc(\C=C/C3=Cc4ccccc4OC3)[n+](CCCS(=O)(=O)O)c2c5sccc15	L1
Z2968932142	COc1cc2N(CCCCS(=O)(=O)O)\C(=C\C=C(/CCCO)\C=C\c3sc4cc(SC)c(OC)cc4[n+]3CCCCS(=O)(=O)O)\Sc2cc1SC	L1
Z239678150	CC(C)(C)C(=O)COC(=O)c1ccccc1SCC(=O)NC(c2ccccc2)c3cccs3	L1
Z56857109	CCOC(=O)c1c2CCCCc2sc1N3C(=O)\C(=C/Nc4ccccc4C)\c5ccccc5C3=O	L1
Z27360491	NC(=O)c1c2CCCc2sc1NC(=O)CSc3nc4cc(Cl)ccc4n3Cc5ccccc5	L1
Z18648771	CCOC(=O)c1c2CCCc2sc1NC(=O)CSC3=Nc4sc5CCCc5c4C(=O)N3c6ccccc6	L1
Z2968932448	COc1cc2N(CCCCS(=O)(=O)O)\C(=C\C=C(/OCCO)\C=C\c3sc4cc(SC)c(OC)cc4[n+]3CCCCS(=O)(=O)O)\Sc2cc1SC	L1
Z3072177653	Cc1ccc2c(c1)c(CC(NC(=O)OCC3c4ccccc4c5ccccc35)C(=O)O)cn2C(=O)OC(C)(C)C	L1
Z57038880	CCCCc1ccc2nc(NC(=O)[C@@H](NC(=O)c3cccc(c3)S(=O)(=O)N(CC)CC)C(C)C)sc2c1	L1
Z234894981	CN1C(=O)c2cccc3c(ccc1c23)S(=O)(=O)Nc4ccc5oc6CCC(Cc6c5c4)C(C)(C)C	L1
Z2968933153	CCN1C(=C(\C=C\C=C\2/CCC(=C2c3ccccc3)\C=C\C=C4C(=O)N(CC)C(=S)N(CC)C4=O)C(=O)N(CC)C1=S)O	L1
Z2527705523	OC(=O)C(Cc1cccc(Br)c1)NC(=O)OCC2c3ccccc3c4ccccc24	L1
Z29256034	CCCN1N=C(C(=O)Nc2nc(cs2)c3ccc(CCC)cc3)c4ccccc4C1=O	L1
Z217633542	CCOc1ccc(cc1OCC)C(NC(=O)c2sc(NC(=O)c3occc3)cc2C)C(C)C	L1
Z27680971	CCOC(=O)c1c2CCCCc2sc1NC(=O)c3cn(nc3c4ccccc4)c5ccccc5	L1
Z2968934289	COc1cc2N(CCOc3ccccc3)\C(=C\C=C(/OCCO)\C=C\c4sc5cc(SC)c(OC)cc5[n+]4CCOc6ccccc6)\Sc2cc1SC	L1
Z2968934842	CCOC(=O)c1ccc2N(\C(=C/C=C/C=C/c3[n+](CCCS(=O)(=O)O)c4cc(ccc4n3c5ccccc5)C(=O)OCC)\N(CCCS(=O)(=O)O)c2c1)c6ccccc6	L1
Z2968932196	CCN1\C(=C\C=C(/CCCO)\C=C\c2sc3cc(SC)c(OC)cc3[n+]2CC)\Sc4cc(SC)c(OC)cc14	L1
Z31290631	Cc1ccc(cc1C)N2C(=O)\C(=C/Nc3sc4CCCCc4c3C(=O)N)\c5ccccc5C2=O	L1
Z30266858	Cc1cc(C)c2nc(NC(=O)c3ccc4C(=O)N(C(=O)c4c3)c5ccccc5C)sc2c1	L1
