"idnumber","Canonical_Smiles","inchikey","Class"
"Z73356179","O=C(CCN1C(=O)NC2(CCCC2)C1=O)Nc3nc(cs3)c4ccc5CCCc5c4","JAADGCNRRNIBEX-UHFFFAOYSA-N","G2"
"Z16202316","COc1cc2c(oc3ccccc23)cc1NC(=O)CN4C(=O)NC(Cc5c[nH]c6ccccc56)C4=O","UVDJCMKKFZWLPW-UHFFFAOYSA-N","G2"
"Z27739956","Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3coc4c(C)c(C)ccc34)cc2)nc(C)n1","CQKPHKQOVZZOGR-UHFFFAOYSA-N","G2"
"Z15580277","COc1ccc(cc1)C2(NC(=O)N(CC(=O)c3ccc4OCOc4c3)C2=O)c5ccc(OC)cc5","FYUUHSABTUNTET-UHFFFAOYSA-N","G2"
"Z73253870","O=C(CN1C(=O)NC2(CCCc3ccccc23)C1=O)Nc4nnc(s4)C56CC7CC(CC(C7)C5)C6","CVXSCHJOJGBPAZ-UHFFFAOYSA-N","G2"
"Z202691540","CC(C)c1cccc(NC(=O)COC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c4occc4)c1","KJQHCRZIRTZCKP-UHFFFAOYSA-N","G2"
"Z236281476","O=C(NCc1ccc(nc1)N2CCOCC2)c3ccccc3CSc4nc5ccccc5[nH]4","RPQZQKIWSPLTPO-UHFFFAOYSA-N","G2"
"Z65993343","O=C(CN1C(=O)NC2(CCCc3sccc23)C1=O)N4C(COc5ccccc45)c6ccccc6","LIRJXXNACOAWNR-UHFFFAOYSA-N","G2"
"Z30403010","Cc1cc(C)n2nc(SCc3ccccc3C(=O)NCCc4ccc5OCCOc5c4)nc2n1","ASLLQSGMEYZPAP-UHFFFAOYSA-N","G2"
"Z18183836","O=C(COC(=O)CN1C(=O)NC2(CCc3ccccc23)C1=O)Nc4sc5CCCCCc5c4C#N","ACYGHNNXSSYSJV-UHFFFAOYSA-N","G2"
