"inchikey","idnumber","Canonical_Smiles","Class"
"FQRDZCVYXMKEEP-NKFKGCMQSA-N","Z57055611","Cc1ccc(N2C(=O)\C(=C/Nc3nc4ccccc4nc3N5CCCC5)\c6ccccc6C2=O)c(C)c1","G3"
"HSSTUYCFXDZSCI-UHFFFAOYSA-N","Z48951465","Fc1ccccc1c2cc(c3ccccc3)c4c5CCCCc5sc4n2","G3"
"CMPNHCNFGMIIGN-UHFFFAOYSA-N","Z96028440","O=C(Nc1ccccc1)C2CCN(CC2)C(=O)c3cc(nc4ccccc34)c5ccccc5","G3"
"IEAVPOZMUKMNRR-UHFFFAOYSA-N","Z56811116","Fc1ccc(cc1)C2CC(=NN2c3nc(c4ccccc4)c5cc(Cl)ccc5n3)c6cccs6","G3"
"GUYNZYNXRHOXRJ-BUHFOSPRSA-N","Z95128013","OC(=O)c1cc(\C=C\c2c(nc3ccccn23)c4ccccc4)nc5ccccc15","G3"
"MDQNZPPILBWWNA-UHFFFAOYSA-N","Z243555676","[O-][N+](=O)c1ccccc1CC(=O)NCC2CC3c4ccccc4C2c5ccccc35","G3"
"GCWGZTMLJPMEGO-UHFFFAOYSA-N","Z14674222","O=C(COC(=O)C1=NN(C(=O)c2ccccc12)c3ccccc3)N(C4CCCCC4)C5CCCCC5","G3"
"JYVNEQHJQPFBCU-UHFFFAOYSA-N","Z71034062","CCc1ccccc1NC(=O)CN2CCN(CC2)C(=O)c3cc(nc4ccccc34)c5ccncc5","G3"
"HKGQAMMYWKWYIA-UHFFFAOYSA-N","Z131405274","CC(C)c1cc(C(=O)N2CCC(CC2)N3C(=O)Nc4ccccc34)c5cnn(C(C)C)c5n1","G3"
"DBSOPUYZJVXKIF-UHFFFAOYSA-N","Z16276741","Cc1cc(C)c(C(=O)CSC2=Nc3ccccc3C(=O)N2Cc4ccc(F)cc4)c(C)c1","G3"
