"inchikey","idnumber","Canonical_Smiles"
"CJDVVSPVLWQFME-UHFFFAOYSA-N","Z16710877","CSCCC(NC(=O)c1occc1)C(=O)OCC2=CC(=O)Oc3cc(O)ccc23"
"IQVYNHKDDMOEQL-UHFFFAOYSA-N","Z223702056","CC1CCN(CC1)c2nnc(SCC(=O)NCC3COc4ccccc4O3)n2C5CC5"
"KHXILQTWNCIXFU-UHFFFAOYSA-N","Z18319532","O=C(COc1ccccc1C(=O)Nc2ccccc2)N3CCN(CC3)C(=O)c4occc4"
"YXFIRCJCYXQNDX-UHFFFAOYSA-N","Z20105105","CC(OC(=O)C1CCN(CC1)S(=O)(=O)c2ccc3OCCOc3c2)C(=O)Nc4cccc(c4)C#N"
"JAIMDCXKLMUECP-UHFFFAOYSA-N","Z115131598","[O-][N+](=O)c1ccc(OCC(=O)Nc2c(oc3ccccc23)C(=O)N4CCOCC4)cc1"
"MOAJPIHKTNZQRY-UHFFFAOYSA-N","Z92390611","CC(OC(=O)c1cc(Cl)c2OCCCOc2c1)C(=O)c3ccc4OCC(=O)Nc4c3"
"KWJPWLKIEWPVES-UHFFFAOYSA-N","Z15929440","FC(F)(F)c1ccc2c(c1)nc(SCC(=O)c3ccc[nH]3)n2Cc4ccccc4"
"FJOQXHWRFCELRJ-UHFFFAOYSA-N","Z360489130","Cc1ccc(OCc2oc(SCC(=O)N3CCN(CC3)C(=O)Nc4ccccc4)nn2)cc1"
"MBYCVSKUVBLZPN-UHFFFAOYSA-N","Z109476484","O=C(Nc1ccccc1)N2CCCC(C2)C(=O)N3CCN(Cc4nc5ccccc5s4)CC3"
"DYZNNEVLMFDZJK-UHFFFAOYSA-N","Z30166414","O=C(NCc1ccccn1)c2ccc3C(=O)c4ccccc4S(=O)(=O)c3c2"
